ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	castingStat	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
1cbc858	c29da0c	3109aee6	3612ca	Human	Outlander	2018-10-15T15:33:26Z	Ranger 10	Ranger	Hunter	10	Keen Mind	71	16	15	16	12	14	14	10		Athletics|Stealth|Nature|Perception|Survival	Shortsword|Longbow		10 15 2018	Wis	Brazil	BR		NA	NA	Human		Shortsword|Longbow	8-11	determined_joliot
1cbc858	c29da0c	c7c1f8be	097df4	High Elf	Soldier	2018-10-15T15:32:40Z	Cleric 10	Cleric	Life Domain	10	Healer	74	18	13	16	12	11	15	10		Athletics|Religion|Medicine|Perception|Intimidation	Mace|Spear	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5	10 15 2018	Wis	Brazil	BR		NA	NA	Elf	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5	Mace|Spear	8-11	zen_raman
1cbc858	c29da0c	c0058496	5268e5	Human	Far Traveler	2018-10-15T15:32:00Z	Barbarian 10	Barbarian	Path of the Storm Herald	10	Weapon Master	93	14	16	14	15	12	12	10		Athletics|Insight|Perception|Survival|Intimidation	Longsword|Handaxe|Javelin		10 15 2018	Int	Brazil	BR		NA	NA	Human		Longsword|Handaxe|Javelin	8-11	friendly_minsky
		f554dfc9	4514a6	High Elf	Guild Artisan	2018-10-10T21:53:15Z	Wizard 10	Wizard	School of Evocation	10	Spell Sniper	66	15	10	20	15	20	10	14		History|Insight|Medicine|Perception|Persuasion	Dagger		10 10 2018	Int	Canada	CA		NA	NA	Elf		Dagger	8-11	xenodochial_taussig
5d6ba53	c29da0c	fa97006a	06404d	Mountain Dwarf	Mercenary Veteran	2018-10-06T00:02:27Z	Fighter 10	Fighter	Cavalier	10	Mounted Combatant	98	18	17	13	16	12	11	11		Athletics|Animal Handling|Insight|Intimidation|Persuasion	Warhammer|Handaxe		10 05 2018	Int	Brazil	BR		NA	NA	Dwarf		Warhammer|Handaxe	8-11	eloquent_chandrasekhar
aa22861	32146b3	5e05937b	72ff3f	Triton	Soldier	2018-09-29T23:59:21Z	Fighter 10	Fighter	Champion	10	Great Weapon Master|Tough|Martial Adept	104	19	16	12	14	10	11	13		Athletics|Insight|Survival|Intimidation	Trident|Shortsword		09 29 2018	Int	United States	US		NA	NA	Triton		Trident|Shortsword	8-11	pedantic_villani
aa22861	32146b3	8a61aa2f	cfef0b	Firbolg	Hermit	2018-09-29T23:44:01Z	Druid 10	Druid	Circle of the Shepherd	10	War Caster|Observant	73	14	12	12	14	12	18	8		Religion|Animal Handling|Medicine|Perception			09 29 2018	Wis	United States	US		NA	NA	Firbolg			8-11	stoic_carson
	de43c6e	826cc5b0	a562c8	Dragonborn	Acolyte	2018-09-11T20:21:11Z	Cleric 10	Cleric	Death Domain	10		79	17	14	12	14	12	16	12		History|Religion|Insight|Persuasion	Mace|Quarterstaff	False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5	09 11 2018	Wis	Canada	CA		NA	NA	Dragonborn	False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5	Mace|Quarterstaff	8-11	goofy_nash
0691037	df40f13	b6873d1d	badc40	Mountain Dwarf	Soldier	2018-09-09T00:57:25Z	Barbarian 10	Barbarian	Path of the Totem Warrior	10	Alert|Polearm Master	65	16	17	14	17	8	10	8	Neutral Good	Athletics|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin|Spear +2		09 08 2018	Int	United States	US	NG	NA	NA	Dwarf		Greataxe|Handaxe|Javelin|Spear	8-11	kind_jennings
1f422c3	5323e86	7fe7f0ea	382dea	Human	Criminal	2018-08-31T01:19:04Z	Ranger 10	Ranger	Horizon Walker	10	Lucky	100	17	11	20	18	12	16	14		Athletics|Stealth|Investigation|Perception|Survival|Deception	Shortsword|Longbow	Protection from Evil and Good*1|Hunters Mark*1|Hail Of Thorns*1|Misty Step*2|Pass Without A Trace*2|Haste*3|Lightning Arrow*3	08 30 2018	Wis	United States	US		NA	NA	Human	Protection from Evil and Good*1|Hunter's Mark*1|Hail of Thorns*1|Misty Step*2|Pass Without Trace*2|Haste*3|Lightning Arrow*3	Shortsword|Longbow	8-11	stoic_turing
1f422c3	5323e86	de9fcd47	4208a5	Hill Dwarf	Folk Hero	2018-08-30T23:59:22Z	Cleric 10	Cleric	Trickery Domain	10		100	22	16	16	18	13	20	14	lawful neutral	Animal Handling|Insight|Survival|Persuasion	Warhammer|Crossbow, light	Guidance*0|Toll The Dead*0|Word Of Radiance*0|Spare The Dying*0|Sacred Flame*0|Charm Person*1|Disguise Self*1|Bless*1|Healing Wors*1|Cure Wounds*1|Mirror Image*2|Pass Without Trace*2|Prayer Of Healing*2|Spiritual Weapon*2|Blink*3|Dispel Magic*3|Bestow Curse*3|Mass Healing Word*3|Spirit Guardians*3|Tongues*3|Dimension Door*4|Polymorph*4|Banishment*4|Death Ward*4|Dominate Person*5|Modify Memory*5|Holy Weapon*5|Raise Dead*5|Flame Strike*5	08 30 2018	Wis	United States	US	LN	NA	NA	Dwarf	Guidance*0|Toll the Dead*0|Word of Radiance*0|Spare the Dying*0|Sacred Flame*0|Charm Person*1|Disguise Self*1|Bless*1|Healing Word*1|Cure Wounds*1|Mirror Image*2|Pass Without Trace*2|Prayer of Healing*2|Spiritual Weapon*2|Blink*3|Dispel Magic*3|Bestow Curse*3|Mass Healing Word*3|Spirit Guardians*3|Tongues*3|Dimension Door*4|Polymorph*4|Banishment*4|Death Ward*4|Dominate Person*5|Modify Memory*5|Holy Weapon*5|Raise Dead*5|Flame Strike*5	Warhammer|Crossbow, Light	8-11	nifty_gates
1f422c3	5323e86	df52d180	585f45	Human	Acolyte	2018-08-30T22:57:50Z	Sorcerer 10	Sorcerer	Shadow Magic	10	Lucky	80	13	11	17	18	13	16	20		Arcana|Religion|Insight|Intimidation|Persuasion	Crossbow, light|Dagger	Darkness*2	08 30 2018	Cha	United States	US		NA	NA	Human	Darkness*2	Crossbow, Light|Dagger	8-11	thirsty_ganguly
	401e4e5	1dd89e4d	214c67	Mountain Dwarf	Folk Hero	2018-08-28T03:44:14Z	Sorcerer 10	Sorcerer	Divine Soul	10		72	16	10	12	16	12	12	18	Neutral Good	Arcana|Religion|Animal Handling|Survival	Crossbow, light|Dagger	Ray of Frost*0|Shocking Grasp*0|Guidance*0|Resistance*0|Message*0|Mage Hand*0|Cure Wounds*1|Shield*1|Guiding Bolt*1|Spiritual Weapon*2|Scorching Ray*2|Revivify*3|Fireball*3|Major Image*3|Banishment*4|Guardian of Faith*4|Wall of Light*5|Insect Plague*5	08 27 2018	Cha	Canada	CA	NG	NA	NA	Dwarf	Ray of Frost*0|Shocking Grasp*0|Guidance*0|Resistance*0|Message*0|Mage Hand*0|Cure Wounds*1|Shield*1|Guiding Bolt*1|Spiritual Weapon*2|Scorching Ray*2|Revivify*3|Fireball*3|Major Image*3|Banishment*4|Guardian of Faith*4|Wall of Light*5|Insect Plague*5	Crossbow, Light|Dagger	8-11	brave_ellis
0877a55	cef2c29	f80f08d0	458a02	Skellington	Hermit	2018-08-23T22:43:50Z	Monk 10	Monk	Way of the Sun Soul	10	Sentinel	63	18	8	20	13	8	16	6	Neutral	Acrobatics|Stealth|Religion|Insight|Medicine	Unarmed strike		08 23 2018	Int	Canada	CA	NN	NA	NA			Unarmed Strike	8-11	reverent_antonelli
366bc1d		e5e19073	e6c8ab	Human	Urban Bounty Hunter	2018-08-16T17:32:03Z	Rogue 10	Rogue	Mastermind	10	Healer	24	15	17	16	15	13	12	9	Neutral	Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception	Dagger|Dagger|Crossbow, light|ScaleDeep Dagger		08 16 2018	Int	United Kingdom	GB	NN	NA	NA	Human		Dagger|Crossbow, Light	8-11	inspiring_edison
37ef3a9	dda8ede	33031e7b	c44e4e	Half-Orc	Acolyte	2018-08-15T21:28:26Z	Cleric 10	Cleric	Nature Domain	10	Heavy Armor Master|Orcish Fury	73	18	18	10	14	12	15	8	Chaotic Neutral	History|Nature|Religion|Insight|Medicine|Intimidation	Mace|Crossbow, light	Guidance*0|Light*0|Resistance*0|Sacred Flame*0|Spare the Dying*0|Animal Friendship*1|Cure Wounds*1|Guiding Bolt*1|Healing Word*1|Speak with Animals*1|Barkskin*2|Blindness/Deafness*2|Hold Person*2|Spike Growth*2|Beacon of Hope*3|Mass Healing Word*3|Plant Growth*3|Revivify*3|Wind Wall*3|Dominate Beast*4|Freedom of Movement*4|Grasping Vines*4|Stone Shape*4|Greater Restoration*5|Insect Plague*5|Mass Cure Wounds*5|Tree Stride*5	08 15 2018	Wis	United States	US	CN	NA	NA	Half-Orc	Guidance*0|Light*0|Resistance*0|Sacred Flame*0|Spare the Dying*0|Animal Friendship*1|Cure Wounds*1|Guiding Bolt*1|Healing Word*1|Speak with Animals*1|Barkskin*2|Blindness/Deafness*2|Hold Person*2|Spike Growth*2|Beacon of Hope*3|Mass Healing Word*3|Plant Growth*3|Revivify*3|Wind Wall*3|Dominate Beast*4|Freedom of Movement*4|Grasping Vine*4|Stone Shape*4|Greater Restoration*5|Insect Plague*5|Mass Cure Wounds*5|Tree Stride*5	Mace|Crossbow, Light	8-11	boring_lumiere
a51beb0	a595a22	e19e4b1d	4ac8d5	Dragonborn	Soldier	2018-08-15T13:39:06Z	Paladin 10	Paladin	Oath of Vengeance	10	Tough	94	18	18	12	13	10	8	16		Athletics|Insight|Medicine|Intimidation	Longsword|Javelin	Bane*1|Hunter’s Mark*1|Cure Wounds*1|Thuderous Smite*1|Hold Person*2|Misty Step*2|Cure Wounds*2|Haste*3|Cure Wounds*3	08 15 2018	Cha	United States	US		NA	NA	Dragonborn	Bane*1|Hunter's Mark*1|Cure Wounds*1|Thunderous Smite*1|Hold Person*2|Misty Step*2|Haste*3	Longsword|Javelin	8-11	affectionate_ganguly
7f44194	f2e9099	97f4e64c	13fec1	Human	Acolyte	2018-08-12T22:29:08Z	Cleric 10	Cleric	Life Domain	10		88	18	13	14	14	11	17	14		Religion|Insight|Medicine|Persuasion	Mace|Crossbow, light	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5	08 12 2018	Wis	United States	US		NA	NA	Human	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5	Mace|Crossbow, Light	8-11	practical_banzai
	5f2afd2	23b7610b	38ca26	Wood Elf	Criminal	2018-08-11T23:34:34Z	Rogue 10	Rogue	Swashbuckler	10	Elven Accuracy|Alert	90	16	14	20	14	11	14	17		Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Performance|Persuasion	Rapier|Shortbow|Dagger		08 11 2018	Int	Canada	CA		NA	NA	Elf		Rapier|Shortbow|Dagger	8-11	nervous_napier
c706d19		736a8423	3cfb67	Protector Aasimar	Sailor	2018-08-07T18:44:57Z	Bard 10	Bard	College of Glamour	10	Mobile	88	15	12	18	14	16	17	20		Athletics|Acrobatics|Perception|Performance|Persuasion	Rapier|Dagger	Vicious Mockery*0|Dancing Lights*0|Charm Person*1|Detect Magic*1|Healing Word*1|Thunderwave*1|Silence*2|Crown Of Madness*2|Invisibility*2|Bestow Curse*3|Leomunds Tiny Hut*3|Nondetection*3|Dimension Door*4|Polymorph*4|Hallucinatory Terrain*4|Planar Binding*5|Seeming*5	08 07 2018	Cha	United States	US		NA	NA	Aasimar	Vicious Mockery*0|Dancing Lights*0|Charm Person*1|Detect Magic*1|Healing Word*1|Thunderwave*1|Silence*2|Crown of Madness*2|Invisibility*2|Bestow Curse*3|Leomund's Tiny Hut*3|Nondetection*3|Dimension Door*4|Polymorph*4|Hallucinatory Terrain*4|Planar Binding*5|Seeming*5	Rapier|Dagger	8-11	compassionate_proskuriakova
7476045	1fb937e	79d8dcdc	8c54e5	Wood Elf	Criminal	2018-08-02T14:05:50Z	Rogue 10	Rogue	Assassin	10	Lucky	70	16	8	20	15	10	14	12		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		08 02 2018	Int	United States	US		NA	NA	Elf		Rapier|Shortbow|Dagger	8-11	sharp_keller
7476045	1fb937e	6a3b7b4c	3e1717	Human	Outlander	2018-08-02T14:05:27Z	Ranger 10	Ranger	Hunter	10	Sharpshooter	70	16	10	20	13	10	16	8		Athletics|Stealth|Investigation|Insight|Perception|Survival	Shortsword|Longbow		08 02 2018	Wis	United States	US		NA	NA	Human		Shortsword|Longbow	8-11	crazy_roentgen
7476045	1fb937e	decd6d7e	99bac3	Dragonborn	Acolyte	2018-08-02T14:05:03Z	Paladin 10	Paladin	Oath of Vengeance	10	Great Weapon Master	90	16	17	11	16	9	10	14		Athletics|Religion|Insight|Persuasion	Maul|Greatsword|Javelin	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3	08 02 2018	Cha	United States	US		NA	NA	Dragonborn	Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3	Maul|Greatsword|Javelin	8-11	priceless_keldysh
7476045	1fb937e	66bee68b	17ded3	Hill Dwarf	Hermit	2018-08-02T04:37:42Z	Druid 10	Druid	Circle of the Moon	10		90	14	10	13	17	10	20	8		Religion|Insight|Medicine|Perception	Scimitar		08 01 2018	Wis	United States	US		NA	NA	Dwarf		Scimitar	8-11	nervous_meninsky
7574089	d5a2d0a	7b8e815a	3778bb	Lineage - Mamm	Noble	2018-07-27T01:44:11Z	Warlock 10	Warlock	The Hexblade	10		73	18	10	16	14	11	10	18	true neutral	Arcana|History|Investigation|Persuasion	Crossbow, light|Dagger|+2 Hex Rapier X2	Mage Hand(race)*0|Eldritch Blast*0|Toll the dead*0|Chill Touch*0|Presti*0|Shield*1|Armor Of Agathys*1|Hellish Rebuke*1|Floating Disk(1/day)*1|Unseen Servant(R)*1|Arcane Lock (1/day)*2|Misty Step*2|Mirror Image*2|Gaseous Form*3|Shadow Of Moil*4|Sickening Radiance*4|Negative energy Flood *5|Far Step*5	07 26 2018	Cha	United States	US	NN	NA	NA	Tiefling	Mage Hand*0|Eldritch Blast*0|Toll the Dead*0|Chill Touch*0|Shield*1|Armor of Agathys*1|Hellish Rebuke*1|Unseen Servant*1|Arcane Lock*2|Misty Step*2|Mirror Image*2|Gaseous Form*3|Shadow of Moil*4|Sickening Radiance*4|Negative Energy Flood*5|Far Step*5	Crossbow, Light|Dagger|Rapier	8-11	keen_galileo
	e171cb8	fdcc7aec	a50a03	Human	Sage	2018-07-22T20:52:55Z	Sorcerer 10	Sorcerer	Shadow Magic	10	Spell Sniper	70	13	8	16	14	12	10	18		Arcana|History|Insight|Perception|Intimidation	Crossbow, light|Dagger	Darkness*2	07 22 2018	Cha	Canada	CA		NA	NA	Human	Darkness*2	Crossbow, Light|Dagger	8-11	flamboyant_rosalind
46f7fa3		81e8ea75	20a586	Wood Elf	Sage	2018-07-09T15:25:02Z	Druid 10	Druid	Circle of the Land	10	Wood Elf Magic|Elven Accuracy	53	16	10	16	10	16	18	10		Arcana|History|Nature|Medicine|Perception|Survival	Scimitar	Guidance*0|Mold Earth*0|Shape Water*0|Thorn Whip*0|Druidcraft*0|Create Or Destroy Water*1|Healing Word*1|Speak With Animals*1|Barkskin*2|Spider Climb*2|Animal Messenger*2|Skywrite*2|Lesser Restoration*2|Call Lightning*3|Plant Growth*3|Erupting Earth*3|Speak With Plants*3|Locate Animals Or Plants*3|Divination*4|Freedom of Movement*4|Watery Sphere*4|Conjure Woodland Beings*4|Commune with Nature*5|Tree Stride*5|Mass Cure Wounds*5|Wrath Of Nature*5|Greater Restoration*5	07 09 2018	Wis	Canada	CA		NA	NA	Elf	Guidance*0|Mold Earth*0|Shape Water*0|Thorn Whip*0|Druidcraft*0|Create or Destroy Water*1|Healing Word*1|Speak with Animals*1|Barkskin*2|Spider Climb*2|Animal Messenger*2|Skywrite*2|Lesser Restoration*2|Call Lightning*3|Plant Growth*3|Erupting Earth*3|Speak with Plants*3|Divination*4|Freedom of Movement*4|Watery Sphere*4|Conjure Woodland Beings*4|Commune with Nature*5|Tree Stride*5|Mass Cure Wounds*5|Wrath of Nature*5|Greater Restoration*5	Scimitar	8-11	flamboyant_mendel
46f7fa3		c5436815	792235	Human	Knight	2018-07-09T14:32:55Z	Fighter 10	Fighter	Purple Dragon Knight	10	Sentinel|Mage Slayer|Shield Master	76	18	18	10	14	10	16	10		History|Animal Handling|Insight|Perception|Performance|Persuasion	Longsword|Handaxe		07 09 2018	Int	Canada	CA		NA	NA	Human		Longsword|Handaxe	8-11	wizardly_grothendieck
46f7fa3		e7b76002	9b4c34	Mountain Dwarf	Clan Crafter	2018-07-09T14:31:04Z	Paladin 10	Paladin	OathBreaker	10	Squat Nimbleness	84	18	17	10	14	12	14	16		Athletics|History|Insight|Intimidation|Persuasion	Javelin	Hellish Rebuke*1|Inflict Wounds*1|Thunderous Smite*1|Heroism*1|Cure Wounds*1|Protection From Evil And Good*1|Crown of Madness*2|Darkness*2|Zone Of Truth*2|Find Steed*2|Magic Weapon*2|Animate Dead*3|Bestow Curse*3|Remove Curse*3|Elemental Weapon*3	07 09 2018	Cha	Canada	CA		NA	NA	Dwarf	Hellish Rebuke*1|Inflict Wounds*1|Thunderous Smite*1|Heroism*1|Cure Wounds*1|Protection from Evil and Good*1|Crown of Madness*2|Darkness*2|Zone of Truth*2|Find Steed*2|Magic Weapon*2|Animate Dead*3|Bestow Curse*3|Remove Curse*3|Elemental Weapon*3	Javelin	8-11	cool_maxwell
46f7fa3		a9fd9b63	e6f0d7	Dragonborn	Courtier	2018-07-09T14:07:04Z	Sorcerer 10	Sorcerer	Storm Sorcery	10	Dragon Hide|Spell Sniper	42	12	10	14	10	13	12	18		Arcana|Religion|Insight|Persuasion	Dagger	Control Flames*0|Firebolt*0|Mage Hand*0|Lightning Lure*0|Mending*0|Message*0|Comprehend Languages*1|Mage Armour*1|Suggestion*2|Web*2|Crown Of Madness*2|Counterspell*3|Tongues*3|Major Image*3|Polymorph*4|Sickening Radiance*4|Immolation*5	07 09 2018	Cha	Canada	CA		NA	NA	Dragonborn	Control Flames*0|Fire Bolt*0|Mage Hand*0|Lightning Lure*0|Mending*0|Message*0|Comprehend Languages*1|Mage Armor*1|Suggestion*2|Web*2|Crown of Madness*2|Counterspell*3|Tongues*3|Major Image*3|Polymorph*4|Sickening Radiance*4|Immolation*5	Dagger	8-11	affectionate_galileo
7d5aa2d	5622c87	34d5d1f1	d9db84	Wood Elf	Guild Artisan	2018-07-02T14:31:59Z	Wizard 10	Wizard	School of Conjuration	10	Spell Sniper|Elven Accuracy	42	13	10	16	10	15	14	12		Arcana|Insight|Medicine|Perception|Persuasion	Quarterstaff		07 02 2018	Int	Canada	CA		NA	NA	Elf		Quarterstaff	8-11	upbeat_wu
944391d		217e2fb2	138968	Human	Sage	2018-06-02T05:50:04Z	Wizard 10	Wizard	School of Necromancy	10		62	12	11	14	15	20	13	9		Arcana|History|Religion|Insight	Quarterstaff	Animate Dead*3	06 01 2018	Int	United States	US		NA	NA	Human	Animate Dead*3	Quarterstaff	8-11	laughing_yonath
98e273b	83bfc0b	115bd0b0	62c3d6	Kenku	Acolyte	2018-05-27T23:21:59Z	Cleric 10	Cleric	Grave Domain	10		73	18	8	18	14	10	18	10		Stealth|History|Religion|Insight|Medicine|Deception	Mace|Crossbow, light	Spare the Dying*0|Guidance*0|Light*0|Sacred Flame*0|Word Of Radiance*0|Thaumaturgy*0|Bane*1|False Life*1|Guiding Bolt*1|Bless*1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon*2|Revivify*3|Vampiric Touch*3|Spirit Guardians*3|Mss Healing Word*3|Animate Dead*3|Dispel Magic*3|Sending*3|Speak To Dead*3|Glyph Of Warding*3|Blight*4|Death Ward*4|Banishment*4|Divination*4|Antilife Shell*5|Raise Dead*5|Mass Cure Wounds*5|Holy Weapon*5	05 27 2018	Wis	United States	US		NA	NA	Kenku	Spare the Dying*0|Guidance*0|Light*0|Sacred Flame*0|Word of Radiance*0|Thaumaturgy*0|Bane*1|False Life*1|Guiding Bolt*1|Bless*1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon*2|Revivify*3|Vampiric Touch*3|Spirit Guardians*3|Mass Healing Word*3|Animate Dead*3|Dispel Magic*3|Sending*3|Speak with Dead*3|Glyph of Warding*3|Blight*4|Death Ward*4|Banishment*4|Divination*4|Antilife Shell*5|Raise Dead*5|Mass Cure Wounds*5|Holy Weapon*5	Mace|Crossbow, Light	8-11	serene_carson
f778cab	497a792	8548585a	9d5fce	Wood Elf	Hermit	2018-05-26T19:20:30Z	Druid 10	Druid	Circle of the Moon	10		80	16	8	16	14	12	20	8		Arcana|Religion|Medicine|Perception|Survival			05 26 2018	Wis	United States	US		NA	NA	Elf			8-11	gifted_bassi
f778cab	497a792	be6f248a	82b4b4	Mountain Dwarf	Soldier	2018-05-26T18:37:23Z	Fighter 10	Fighter	Battle Master	10	Great Weapon Master	116	21	20	10	18	10	11	10	Chaotic Good	Athletics|Perception|Survival|Intimidation	Maul +3|Handaxe|Maul +3 GWM -5		05 26 2018	Int	United States	US	CG	NA	NA	Dwarf		Maul|Handaxe	8-11	determined_chatelet
f778cab	497a792	35bcfc71	8719d7	Half-Orc	Outlander	2018-05-26T17:38:10Z	Barbarian 10	Barbarian	Path of the Berserker	10		119	17	20	14	16	8	10	10	Neutral	Athletics|Nature|Perception|Survival|Intimidation	Flame Greatsword|Shortbow|Javelin|Rage Flame Greatsword|Crit Flame Greatsword|Crit Rage Flame Greatsword		05 26 2018	Int	United States	US	NN	NA	NA	Half-Orc		Greatsword|Shortbow|Javelin	8-11	keen_mayer
676c538	cd0f455	4323d17b	aa960d	Naga	Mercenary Veteran	2018-05-09T21:48:13Z	Fighter 10	Fighter	Cavalier	10	Tavern Brawler	100	18	20	16	18	14	14	13		Athletics|Acrobatics|Insight|Survival|Persuasion	Longsword|Crossbow, light		05 09 2018	Int	Norway	NO		NA	NA			Longsword|Crossbow, Light	8-11	condescending_northcutt
7457bdd	f5b6e44	5537c3b4	41cfab	Tabaxi	Criminal	2018-05-07T02:31:01Z	Rogue 10	Rogue	Assassin	10	Alert	73	16	8	20	15	10	13	13		Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception	Rapier|Shortbow|Dagger		05 06 2018	Int	United States	US		NA	NA	Tabaxi		Rapier|Shortbow|Dagger	8-11	crazy_euclid
20043f9	38a4d66	e567b6a0	439342	Rock Gnome	Faction Agent	2018-04-19T18:55:44Z	Blood Hunter 10	Blood Hunter	Order of the Mutant	10	Fade Away	84	15	13	16	14	14	12	12		Acrobatics|Investigation|Religion|Insight|Survival	Morningstar|Crossbow, Hand		04 19 2018	Int	United States	US		NA	NA	Gnome		Morningstar|Crossbow, hand	8-11	eager_cori
1796d26	b107a60	614703a9	2ab6bd	Lizardfolk	Urchin	2019-03-30T05:40:43Z	Druid 9	Druid	Circle of the Moon	9		72	17	8	18	16	12	16	8		Sleight of Hand|Stealth|Nature|Insight|Perception|Survival	Scimitar		03 29 2019	Wis	United States	US		NA	NA	Lizardfolk		Scimitar	8-11	pensive_pare
d1ed17a	992e0a9	d6ec4cc6	07a357	Animal Hybrid	Outlander	2019-03-26T02:00:07Z	Barbarian 9	Barbarian	Path of the Berserker	9	Great Weapon Master	95	14	21	9	20	7	13	13		Athletics|Nature|Animal Handling|Survival	War pick|Handaxe|Javelin|Gw Warpick		03 25 2019	Int	United States	US		NA	NA	Simic hybrid		War pick|Handaxe|Javelin	8-11	unruffled_nightingale
5b1a73c	9622a90	59eae9e3	98b5e4	Triton	Noble	2019-03-06T03:49:43Z	Barbarian 9	Barbarian	Path of the Storm Herald	9	Sentinel	81	18	18	12	14	12	10	12		Athletics|History|Perception|Persuasion	Trident|Spear|Javelin|Greataxe	Fog Cloud*1|Gust Of Wind*2|Wall Of Water*3	03 05 2019	Con	United States	US		NA	NA	Triton	Fog Cloud*1|Gust of Wind*2|Wall of Water*3	Trident|Spear|Javelin|Greataxe	8-11	upbeat_galileo
78098d0	b39057e	7c35ec37	2d8eba	Tabaxi	Charlatan	2019-02-23T17:02:45Z	Rogue 9	Rogue	Swashbuckler	9		66	14	10	18	15	10	12	18	Chaotic Neutral	Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Persuasion	Shortsword|Shortsword|Dagger		02 23 2019	Int	United States	US	CN	NA	NA	Tabaxi		Shortsword|Dagger	8-11	vigorous_kirch
	e097a6f	9994ee0b	8690ec	Lineage - Fier	Custom	2019-02-23T04:44:15Z	Druid 9	Druid	Revised Circle of the Shepherd	9	Observant|War Caster	66	12	12	8	14	10	20	17	Neutral Good	Nature|Animal Handling|Perception|Survival	Handaxe	Shillelagh*0|Thorn Whip*0|Healing Word*1|Cure Wounds*1|Faerie Fire*1|Charm Person*1|Healing Spirit*2|Heat Metal*2|Hold Person*2|Slow*3|Haste*3|Conjure Animals*3|Grasping Vine*4|Conjure Woodland Beings*4|Polymorph*4|Mass Cure Wounds*5	02 22 2019	Wis	Canada	CA	NG	NA	NA	Tiefling	Shillelagh*0|Thorn Whip*0|Healing Word*1|Cure Wounds*1|Faerie Fire*1|Charm Person*1|Healing Spirit*2|Heat Metal*2|Hold Person*2|Slow*3|Haste*3|Conjure Animals*3|Grasping Vine*4|Conjure Woodland Beings*4|Polymorph*4|Mass Cure Wounds*5	Handaxe	8-11	practical_elion
dd09f70	d0b260c	cdd9bac8	e779ac	Tiefling	Outlander	2019-02-22T18:26:29Z	Ranger 9	Ranger	Beast Master	9	Lucky|Sharpshooter	76	16	8	16	14	10	14	13	Chaotic Good	Athletics|Stealth|Animal Handling|Perception|Survival	Shortsword|Longbow		02 22 2019	Wis	Costa Rica	CR	CG	NA	NA	Tiefling		Shortsword|Longbow	8-11	cool_banzai
bf68adc	40ccc75	95ce510d	f21468	Human	Soldier	2019-02-15T21:46:21Z	Fighter 9	Fighter	Eldritch Knight	9	Great Weapon Master|Sentinel	85	16	20	11	16	10	13	12		Athletics|Perception|Survival|Intimidation	Glaive|Handaxe		02 15 2019	Int	United States	US		NA	NA	Human		Glaive|Handaxe	8-11	happy_jennings
08bb551	e6c2b19	164f31d6	31fd5e	Half-Orc	Noble	2019-02-12T19:30:16Z	Rogue 9	Rogue	Assassin	9		45	13	16	15	11	14	10	13	Chaotic good	Athletics|Stealth|History|Perception|Deception|Intimidation|Persuasion	Shortsword|Shortbow|Dagger		02 12 2019	Int	United Kingdom	GB	CG	NA	NA	Half-Orc		Shortsword|Shortbow|Dagger	8-11	dreamy_nash
