race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,day,castingStat,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias,difficulty,classType,keyStats,primaryClass,primaryDifficulty,primaryClassType,primaryKeyStats
Dragonborn,Inheritor,2019-03-26T02:37:18Z,['Warlock 6'],['Warlock'],['The Hexblade'],6,['War Caster'],51,13,10,14,16,12,12,16,,"['Arcana', 'History', 'Survival', 'Intimidation']","Crossbow, light|Dagger",,03 25 2019,Cha,United States,US,,,,Dragonborn,,"['Crossbow, Light', 'Dagger']",4-7,wizardly_payne,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Fallen Aasimar,Custom,2019-03-22T23:27:29Z,['Cleric 6'],['Cleric'],['Death Domain'],6,[nan],45,15,15,4,16,8,18,10,Chaotic Evil,"['History', 'Investigation', 'Medicine', 'Persuasion']","Mace|Crossbow, light",Light*0|Chill Touch*0|Guidance*0|Thaumaturgy*0|False Life*1|Ray of Sickness*1|Inflict Wounds*1|Healing Word*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Enhance Ability*2|Spiritual Weapon*2|Tongues*3|Vampiric Touch*3,03 22 2019,Wis,Canada,CA,CE,,,Aasimar,"{'0': ['Light', 'Chill Touch', 'Guidance', 'Thaumaturgy'], '1': ['False Life', 'Ray of Sickness', 'Inflict Wounds', 'Healing Word'], '2': ['Blindness/Deafness', 'Ray of Enfeeblement', 'Enhance Ability', 'Spiritual Weapon'], '3': ['Tongues', 'Vampiric Touch']}","['Mace', 'Crossbow, Light']",4-7,relaxed_chebyshev,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Orc,Barbarian Tribe Member,2019-03-21T22:31:43Z,['Paladin 6'],['Paladin'],['Oath of Vengeance'],6,[nan],73,19,20,13,20,19,11,16,,"['Athletics', 'Religion', 'Survival', 'Intimidation', 'Persuasion']",Longsword|Javelin,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2,03 21 2019,Cha,United States,US,,,,Orc,"{'1': ['Bane', ""Hunter's Mark""], '2': ['Hold Person', 'Misty Step']}","['Longsword', 'Javelin']",4-7,flamboyant_lehmann,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Wood Elf,Outlander,2019-03-21T22:30:17Z,['Ranger 6'],['Ranger'],['Deep Stalker Conclave'],6,[nan],59,16,6,20,16,11,20,13,,"['Athletics', 'Stealth', 'Investigation', 'Nature', 'Perception', 'Survival']",Shortsword|Longbow,Disguise Self*1|Rope Trick*2,03 21 2019,Wis,United States,US,,,,Elf,"{'1': ['Disguise Self'], '2': ['Rope Trick']}","['Shortsword', 'Longbow']",4-7,flamboyant_lehmann,Easy,Hybrid,"['Wis', 'Dex']",Ranger,Easy,Hybrid,"['Wis', 'Dex']"
Lightfoot Halfling,Charlatan,2019-03-21T22:26:21Z,['Rogue 6'],['Rogue'],['Assassin'],6,['Alert'],54,16,6,20,16,13,11,18,,"['Sleight of Hand', 'Stealth', 'Perception', 'Deception', 'Intimidation', 'Persuasion']",Rapier|Shortsword|Dagger,,03 21 2019,Int,United States,US,,,,Halfling,,"['Rapier', 'Shortsword', 'Dagger']",4-7,flamboyant_lehmann,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
High Elf,Noble,2019-03-21T22:23:35Z,['Wizard 6'],['Wizard'],['Bladesinging'],6,[nan],46,17,6,20,16,20,11,13,,"['Arcana', 'History', 'Religion', 'Perception', 'Performance', 'Persuasion']",Dagger|Whip|Rapier,,03 21 2019,Int,United States,US,,,,Elf,,"['Dagger', 'Whip', 'Rapier']",4-7,laughing_newton,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Protector Aasimar,Acolyte,2019-03-21T22:21:52Z,['Sorcerer 6'],['Sorcerer'],['Divine Soul'],6,['War Caster'],47,13,6,16,17,11,14,20,,"['Arcana', 'Religion', 'Insight', 'Persuasion']","Crossbow, light|Dagger",Cure Wounds*1,03 21 2019,Cha,United States,US,,,,Aasimar,{'1': ['Cure Wounds']},"['Crossbow, Light', 'Dagger']",4-7,flamboyant_lehmann,Challenging,Magical,Cha,Sorcerer,Challenging,Magical,Cha
Scourge Aasimar,Acolyte,2019-03-21T22:18:57Z,['Warlock 6'],['Warlock'],['The Hexblade'],6,['Tough'],75,15,6,16,18,11,13,20,,"['Religion', 'Insight', 'Deception', 'Intimidation']","Crossbow, light|Dagger|Battleaxe",,03 21 2019,Cha,United States,US,,,,Aasimar,,"['Crossbow, Light', 'Dagger', 'Battleaxe']",4-7,flamboyant_lehmann,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Elephantine,Far Traveler,2019-03-14T14:58:03Z,['Monk 6'],['Monk'],['Way of the Kensei'],6,[nan],57,23,12,20,14,13,18,15,lawfully Good,"['Athletics', 'Acrobatics', 'Insight', 'Perception']",Dart|Unarmed strike|Quarterstaff,,03 14 2019,Int,United States,US,LG,,,Loxodon,,"['Dart', 'Unarmed Strike', 'Quarterstaff']",4-7,recursing_kepler,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Human,Soldier,2019-03-11T07:13:48Z,['Cleric 6'],['Cleric'],['War Domain'],6,['War Caster'],47,20,18,14,17,14,20,17,Lawful Neutral,"['Athletics', 'Arcana', 'Religion', 'Insight', 'Medicine', 'Intimidation']",Kopesh (Battleaxe)|3 Javelin|Dagger|Shortsword|Unarmed strike|Club|Dagger,Light*0|Resistance *0|Sacred Flame*0|Spare The Dying*0|Divine Favor*1|Shield of Faith*1|Bane*1|Bless*1|Create Or Destroy Water*1|Cure Wounds*1|Detect Magic*1|Detect Poison And Dusease*1|Disguise Self*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1|Protection From Evil And Good*1|Purify Food And Drink*1|Sanctuary*1|Magic Weapon*2|Spiritual Weapon*2|Aid*2|Augury*2|Blindness/Deafness*2|Calm Emotions*2|Continual Flame*2|Enhance Ability*2|Find Traps*2|Gentle Repose*2|Hold Person*2|Lesser Restoration*2|Locate Object*2|Prayer Of Healing*2|Silence*2|Warding Bond*2|Zone Of Truth*2|Crusader's Mantle*3|Spirit Guardian*3|Animate Dead*3|Beacon Of Hope*3|Bestow Curse*3|Clairvoyance*3|Create Food and Water*3|Daylight*3|Dispel Magic*3|Feign Death*3|Glyph Of Warding*3|Magic Circle*3|Mass Healing Word*3|Meld Into Stone*3|Protection from Energy*3|Remove Curse*3|Revivify*3|Sending*3|Tongues*3|Water Walk*3,03 11 2019,Wis,Canada,CA,LN,,,Human,"{'0': ['Light', 'Resistance', 'Sacred Flame', 'Spare the Dying'], '1': ['Divine Favor', 'Shield of Faith', 'Bane', 'Bless', 'Create or Destroy Water', 'Cure Wounds', 'Detect Magic', 'Detect Poison and Disease', 'Disguise Self', 'Guiding Bolt', 'Healing Word', 'Inflict Wounds', 'Protection from Evil and Good', 'Purify Food and Drink', 'Sanctuary'], '2': ['Magic Weapon', 'Spiritual Weapon', 'Aid', 'Augury', 'Blindness/Deafness', 'Calm Emotions', 'Continual Flame', 'Enhance Ability', 'Find Traps', 'Gentle Repose', 'Hold Person', 'Lesser Restoration', 'Locate Object', 'Prayer of Healing', 'Silence', 'Warding Bond', 'Zone of Truth'], '3': [""Crusader's Mantle"", 'Spirit Guardians', 'Animate Dead', 'Beacon of Hope', 'Bestow Curse', 'Clairvoyance', 'Create Food and Water', 'Daylight', 'Dispel Magic', 'Feign Death', 'Glyph of Warding', 'Magic Circle', 'Mass Healing Word', 'Meld Into Stone', 'Protection from Energy', 'Remove Curse', 'Revivify', 'Sending', 'Tongues', 'Water Walk']}","['Battleaxe', 'Javelin', 'Dagger', 'Shortsword', 'Unarmed Strike', 'Club']",4-7,jolly_blackwell,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Human,Barbarian Tribe Member,2019-03-09T19:24:59Z,['Barbarian 6'],['Barbarian'],['Path of the Storm Herald'],6,[nan],90,13,17,10,17,12,10,13,,"['Athletics', 'Perception', 'Survival', 'Intimidation']",Javelin,,03 09 2019,Int,United States,US,,,,Human,,['Javelin'],4-7,lucid_lovelace,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Human,Criminal,2019-03-09T18:21:49Z,['Rogue 6'],['Rogue'],['Thief'],6,['Sharpshooter'],46,15,10,18,16,10,11,10,,"['Athletics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Deception', 'Intimidation']",Rapier|Shortbow|Dagger,,03 09 2019,Int,United States,US,,,,Human,,"['Rapier', 'Shortbow', 'Dagger']",4-7,focused_mclaren,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Human,Urchin,2019-03-02T23:38:58Z,['Sorcerer 6'],['Sorcerer'],['Revised Favored Soul'],6,['Healer'],35,13,8,16,14,8,10,18,,"['Sleight of Hand', 'Stealth', 'Religion', 'Insight', 'Persuasion']",Dagger,Cure Wounds*1,03 02 2019,Cha,United States,US,,,,Human,{'1': ['Cure Wounds']},['Dagger'],4-7,sleepy_cohen,Challenging,Magical,Cha,Sorcerer,Challenging,Magical,Cha
Gem (Sapphire),Soldier,2019-02-27T19:23:33Z,['Cleric 6'],['Cleric'],['Life Domain'],6,[nan],63,22,20,16,20,18,24,15,LG,"['Athletics', 'History', 'Insight', 'Medicine']","Crossbow, light|+1 Maul",Guidance*0|Light*0|Mending*0|Sacred Flame*0|Bless*1|Cure Wounds*1|Bane*1|Command*1|Create Or Destroy Water*1|Detect Evil Or Good*1|Detect Magic*1|Detect Poison And Disease*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1|Protection From Evil and Good*1|Purify Food And Drink*1|Sanctuary*1|Shield Of Faith*1|Ceremony*1|Lesser Restoration*2|Spiritual Weapon*2|Aid*2|Augury*2|Blindness/Deafness*2|Calm Emotions*2|Continual Flame*2|Enhance Ability*2|Find Traps*2|Gentle Repose*2|Hold Person*2|Locate Object*2|Prayer Of Healing*2|Protection From Poison*2|Silence*2|Warding Bond*2|Zone Of Truth*2|Beacon of Hope*3|Revivify*3|Animate Dead*3|Bestow Curse*3|Clairvoyance*3|Create Food And Water*3|Daylight *3|Dispel Magic *3|Feign Death*3|Glyph Of Warding*3|Magic Circle*3|Mass Healing Word*3|Meld Into Stone*3|Protection From Energy*3|Remove Curse*3|Sending*3|Speak With Dead*3|Spirit Guardians*3|Tongues*3|Water Walk*3|Life Transference*3,02 27 2019,Wis,United States,US,LG,,,,"{'0': ['Guidance', 'Light', 'Mending', 'Sacred Flame'], '1': ['Bless', 'Cure Wounds', 'Bane', 'Command', 'Create or Destroy Water', 'Detect Evil and Good', 'Detect Magic', 'Detect Poison and Disease', 'Guiding Bolt', 'Healing Word', 'Inflict Wounds', 'Protection from Evil and Good', 'Purify Food and Drink', 'Sanctuary', 'Shield of Faith', 'Ceremony'], '2': ['Lesser Restoration', 'Spiritual Weapon', 'Aid', 'Augury', 'Blindness/Deafness', 'Calm Emotions', 'Continual Flame', 'Enhance Ability', 'Find Traps', 'Gentle Repose', 'Hold Person', 'Locate Object', 'Prayer of Healing', 'Protection from Poison', 'Silence', 'Warding Bond', 'Zone of Truth'], '3': ['Beacon of Hope', 'Revivify', 'Animate Dead', 'Bestow Curse', 'Clairvoyance', 'Create Food and Water', 'Daylight', 'Dispel Magic', 'Feign Death', 'Glyph of Warding', 'Magic Circle', 'Mass Healing Word', 'Meld Into Stone', 'Protection from Energy', 'Remove Curse', 'Sending', 'Speak with Dead', 'Spirit Guardians', 'Tongues', 'Water Walk', 'Life Transference']}","['Crossbow, Light', 'Maul']",4-7,dreamy_neumann,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Rock Gnome,Clan Crafter,2019-02-25T17:51:28Z,['Cleric 6'],['Cleric'],['Forge Domain'],6,[nan],45,23,16,10,15,12,16,10,Neutral Good,"['History', 'Religion', 'Insight', 'Persuasion']",Mace|Sling,Spare the Dying*0|Word of Radiance d6*0|Toll the Dead d8/d12*0|Guidance d4*0|Identify F*1|Searing Smite d6 F*1|Shield of Faith +2*1|Cure Wounds d8+Wis*1|Healing Word d4+Wis*1|Bless d4*1|Heat Metal F 2d8*2|Magic Weapon F +1*2|Aid +5 HP*2|Lesser Restoration*2|Spiritual Weapon d8+Wis*2|Elmtl Weap F +1/1d4*3|Protection from Energy F*3|Revivify*3|Spirit Guardians 3d8*3|Mass Healing Word d4+Wis*3,02 25 2019,Wis,United States,US,NG,,,Gnome,"{'0': ['Spare the Dying', 'Word of Radiance', 'Toll the Dead', 'Guidance'], '1': ['Identify', 'Searing Smite', 'Shield of Faith', 'Cure Wounds', 'Healing Word', 'Bless'], '2': ['Heat Metal', 'Magic Weapon', 'Aid', 'Lesser Restoration', 'Spiritual Weapon'], '3': ['Protection from Energy', 'Revivify', 'Spirit Guardians', 'Mass Healing Word']}","['Mace', 'Sling']",4-7,magical_chaplygin,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Mountain Dwarf,Guild Artisan,2019-02-24T22:32:13Z,['Cleric 6'],['Cleric'],['Forge Domain'],6,['War Caster'],56,16,15,11,15,14,15,8,Lawful Good,"['History', 'Religion', 'Insight', 'Persuasion']","Warhammer|Crossbow, light",Guidance*0|Mending*0|Sacred Flame*0|Thaumaturgy*0|Identify*1|Searing Smite*1|Bless*1|Healing Word*1|Heat Metal*2|Magic Weapon*2|Prayer Of Healing*2|Elemental Weapon*3|Protection from Energy*3|Mass Healing Word P258*3,02 24 2019,Wis,United States,US,LG,,,Dwarf,"{'0': ['Guidance', 'Mending', 'Sacred Flame', 'Thaumaturgy'], '1': ['Identify', 'Searing Smite', 'Bless', 'Healing Word'], '2': ['Heat Metal', 'Magic Weapon', 'Prayer of Healing'], '3': ['Elemental Weapon', 'Protection from Energy', 'Mass Healing Word']}","['Warhammer', 'Crossbow, Light']",4-7,hardcore_lewin,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Triton,Noble,2019-02-19T16:49:22Z,['Cleric 6'],['Cleric'],['Life Domain'],6,['Linguist'],30,21,16,13,14,10,16,10,LG,"['History', 'Religion', 'Insight', 'Persuasion']","Mace|Spear|Trident|Longsword Ocean|Crossbow, light",Fog Cloud (Triton) 1\D*0|Turn Undead (Chan Div)*0|Pres Life 5Lvl (Chan Div)*0|Spare The Dying*0|Guidance*0|Sacred Flame*0|Light*0|Wall Of Water (Triton) 1\d*0|Gust Of Wind (Trit) 1\d*0|Bless (Domain)*1|Cure Wounds (Dom) +2+Lvl*1|Healing Wrd B D4+11*1|Detect Magic*1|Guiding Bolt*1|Bane*1|Command*1|Create Or Destroy Water*1|Detect Evil And Good*1|Detect Poison And Disease*1|Inflict Wounds*1|Protection From Good And Evil*1|Purify F And D*1|Sanctuary -B*1|Shield Of Faith -B*1|Lesser Restoration (Dom)*2|Spiritual Weapon (Dom) -B*2|Aid*2|Augury*2|Blindness And Defness*2|Calm Emotions*2|Continual Flame*2|Enhance Ability*2|Find Traps*2|Gentle Repose*2|Hold Person*2|Locate Object*2|Prayer Of Healing*2|Protection from Poison*2|Silence*2|Ward Bond*2|Zone Of Truth*2|Beacon of Hope (Dom)*3|Revivify (Dom)*3|Animate Dead*3|Bestow Curse*3|Blink*3|Clairvoiance*3|Create Food Wat*3|Daylight*3|Dispel Magic*3|Feign Death*3|Glyph Of Warding*3|Magic circle*3|Mass Healing Word -B*3|Meld Into Stone*3|Protection From energy*3|Remove Curse*3|Sending*3|Speak With Dead*3|Spirit Gaurdians*3|Tounges*3|Water Walk*3,02 19 2019,Wis,Canada,CA,LG,,,Triton,"{'0': ['Spare the Dying', 'Guidance', 'Sacred Flame', 'Light'], '1': ['Bless', 'Cure Wounds', 'Detect Magic', 'Guiding Bolt', 'Bane', 'Command', 'Create or Destroy Water', 'Detect Evil and Good', 'Detect Poison and Disease', 'Inflict Wounds', 'Protection from Evil and Good', 'Sanctuary', 'Shield of Faith'], '2': ['Lesser Restoration', 'Spiritual Weapon', 'Aid', 'Augury', 'Blindness/Deafness', 'Calm Emotions', 'Continual Flame', 'Enhance Ability', 'Find Traps', 'Gentle Repose', 'Hold Person', 'Locate Object', 'Prayer of Healing', 'Protection from Poison', 'Silence', 'Warding Bond', 'Zone of Truth'], '3': ['Beacon of Hope', 'Revivify', 'Animate Dead', 'Bestow Curse', 'Blink', 'Clairvoyance', 'Daylight', 'Dispel Magic', 'Feign Death', 'Glyph of Warding', 'Magic Circle', 'Mass Healing Word', 'Meld Into Stone', 'Protection from Energy', 'Remove Curse', 'Sending', 'Speak with Dead', 'Spirit Guardians', 'Tongues', 'Water Walk']}","['Mace', 'Spear', 'Trident', 'Longsword', 'Crossbow, Light']",4-7,youthful_bassi,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Human,Outlander,2019-02-17T23:32:06Z,['Fighter 6'],['Fighter'],['Eldritch Knight'],6,[nan],70,20,18,14,20,11,12,9,NG,"['Athletics', 'Acrobatics', 'Perception', 'Survival']",Hellreaver|Orion|Draco|Startail Hammer|Unarmed strike,Booming Blade*0|Frostbite*0|Absorb Elements*1|Shield*1|Earth Tremor*1|Expeditious Retreat*1,02 17 2019,Int,United States,US,NG,,,Human,"{'0': ['Booming Blade', 'Frostbite'], '1': ['Absorb Elements', 'Shield', 'Earth Tremor', 'Expeditious Retreat']}",['Unarmed Strike'],4-7,confident_keldysh,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Human,Sage,2019-02-17T00:20:56Z,['Cleric 6'],['Cleric'],['Knowledge Domain'],6,['Linguist'],13,11,8,10,12,16,18,13,,"['Arcana', 'History', 'Investigation', 'Religion', 'Insight', 'Medicine', 'Persuasion']",Quarterstaff,Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3,02 16 2019,Wis,Canada,CA,,,,Human,"{'1': ['Command', 'Identify'], '2': ['Augury', 'Suggestion'], '3': ['Nondetection', 'Speak with Dead']}",['Quarterstaff'],4-7,silly_proskuriakova,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Half Elf,Soldier,2019-02-16T21:10:42Z,['Warlock 6'],['Warlock'],['The Celestial'],6,[nan],31,16,8,16,14,12,10,18,CG,"['Athletics', 'Arcana', 'Religion', 'Medicine', 'Intimidation', 'Performance']","Mace|Eldritch Blast|Dagger|Crossbow, Light|Shortsword",Light*0|Sacred Flame*0|Eldritch Blast*0|Chill Touch*0|Blade Ward*0|Healing Light*0|Vicious Mockery*0|Message*0|Guidance*0|Protection From Evil And Good*1|Hex*1|Cure Wounds*1|Lesser Restoration*2|Shatter*2|Revivify*3|Counterspell*3,02 16 2019,Cha,Canada,CA,CG,,,Half-Elf,"{'0': ['Light', 'Sacred Flame', 'Eldritch Blast', 'Chill Touch', 'Blade Ward', 'Vicious Mockery', 'Message', 'Guidance'], '1': ['Protection from Evil and Good', 'Hex', 'Cure Wounds'], '2': ['Lesser Restoration', 'Shatter'], '3': ['Revivify', 'Counterspell']}","['Mace', 'Dagger', 'Crossbow, Light', 'Shortsword']",4-7,wizardly_yonath,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Goblin,Acolyte,2019-02-16T21:09:39Z,['Barbarian 6'],['Barbarian'],['Path of the Totem Warrior'],6,[nan],68,18,14,15,18,10,12,8,,"['Religion', 'Animal Handling', 'Insight', 'Survival']",Greatclub|Mace,,02 16 2019,Int,Canada,CA,,,,Goblin,,"['Greatclub', 'Mace']",4-7,quirky_blackwell,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Human,Urchin,2019-02-16T21:09:12Z,['Rogue 6'],['Rogue'],['Thief'],6,[nan],23,16,11,18,14,15,13,9,,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Perception', 'Deception']",Rapier|Shortsword|Dagger|Handaxe,,02 16 2019,Int,Canada,CA,,,,Human,,"['Rapier', 'Shortsword', 'Dagger', 'Handaxe']",4-7,peaceful_visvesvaraya,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Dark Elf,Entertainer,2019-01-30T01:21:16Z,['Bard 6'],['Bard'],['College of Lore'],6,[nan],39,14,8,16,13,10,12,18,,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Perception', 'Deception', 'Intimidation', 'Performance', 'Persuasion']",Rapier|Dagger,Vicious Mockery*0|Minor Illusion*0|Friends*0|Dissonant Whispers *1|Faerie Fire*1|Thunderwave*1|Crown Of Madness*2|Invisibility *2|Hold Person*2|Hypnotic Pattern*3|Fireball*3|Aura Of Vitality *3,01 29 2019,Cha,United States,US,,,,Elf,"{'0': ['Vicious Mockery', 'Minor Illusion', 'Friends'], '1': ['Dissonant Whispers', 'Faerie Fire', 'Thunderwave'], '2': ['Crown of Madness', 'Invisibility', 'Hold Person'], '3': ['Hypnotic Pattern', 'Fireball', 'Aura Of Vitality']}","['Rapier', 'Dagger']",4-7,stoic_ellis,Challenging,Hybrid,Cha,Bard,Challenging,Hybrid,Cha
Half Elf,Hermit,2019-01-26T01:49:53Z,['Sorcerer 6'],['Sorcerer'],['Wild Magic'],6,[nan],48,12,12,15,15,11,8,19,,"['Acrobatics', 'Sleight of Hand', 'Religion', 'Insight', 'Medicine', 'Deception']","Crossbow, light|Dagger",,01 25 2019,Cha,Australia,AU,,,,Half-Elf,,"['Crossbow, Light', 'Dagger']",4-7,pedantic_boyd,Challenging,Magical,Cha,Sorcerer,Challenging,Magical,Cha
Forest Gnome,Noble,2019-01-24T01:59:42Z,['Wizard 6'],['Wizard'],['School of Divination'],6,['Resilient'],40,17,9,18,15,20,12,10,Lawful Neutral (good-ish),"['Arcana', 'History', 'Investigation', 'Insight']",Dagger,Minor Illusion (Gnome)*0|Ray Of Frost*0|Prestidigitation*0|Mage Hand*0|Mending*0|Detect Magic*1|Find Familiar*1|Mage Armor*1|Magic Missile*1|Comprehend Languages*1|Sleep*1|Shield*1|Tasha's Uncontrollable Hideous Laughter*1|Misty Step*2|Phantasmal Force*2|Levitate*2|Suggestion*2|Fireball*3|Haste*3|Counterspell*3|Hypnotic Pattern*3|Fly*3|Lightning Bolt*3,01 23 2019,Int,United States,US,LN,,,Gnome,"{'0': ['Minor Illusion', 'Ray of Frost', 'Prestidigitation', 'Mage Hand', 'Mending'], '1': ['Detect Magic', 'Find Familiar', 'Mage Armor', 'Magic Missile', 'Comprehend Languages', 'Sleep', 'Shield', ""Tasha's Hideous Laughter""], '2': ['Misty Step', 'Phantasmal Force', 'Levitate', 'Suggestion'], '3': ['Fireball', 'Haste', 'Counterspell', 'Hypnotic Pattern', 'Fly', 'Lightning Bolt']}",['Dagger'],4-7,kind_mestorf,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Tiefling,Entertainer,2019-01-18T05:23:12Z,['Bard 6'],['Bard'],['College of Swords'],6,[nan],42,14,10,17,12,8,11,18,,"['Athletics', 'Acrobatics', 'Animal Handling', 'Insight', 'Performance']",Rapier|Dagger,,01 17 2019,Cha,United States,US,,,,Tiefling,,"['Rapier', 'Dagger']",4-7,pedantic_swartz,Challenging,Hybrid,Cha,Bard,Challenging,Hybrid,Cha
Eladrin Dmg,Criminal,2019-01-18T04:38:21Z,['Wizard 6'],['Wizard'],['Bladesinging'],6,[nan],32,19,10,16,12,18,11,10,,"['Stealth', 'Arcana', 'Investigation', 'Perception', 'Deception', 'Performance']","Dagger|Shortsword|Crossbow, hand",,01 17 2019,Int,United States,US,,,,Eladrin,,"['Dagger', 'Shortsword', 'Crossbow, hand']",4-7,cool_robinson,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Half Orc,Barbarian Tribe Member,2019-01-14T03:35:04Z,['Druid 6'],['Druid'],['Circle of Spores'],6,['War Caster'],45,14,14,13,15,10,15,8,,"['Athletics', 'Nature', 'Medicine', 'Survival', 'Intimidation']",Quarterstaff,Chill Touch*0|Blindness/Deafness*1|Gentle Repose*1|Animate Dead*2|Gaseous Form*2,01 13 2019,Wis,Australia,AU,,,,Half-Orc,{'0': ['Chill Touch']},['Quarterstaff'],4-7,hardcore_turing,Challenging,Magical,Wis,Druid,Challenging,Magical,Wis
Fire Genasi,Sage,2019-01-12T03:30:55Z,['Wizard 6'],['Wizard'],['School of Divination'],6,[nan],41,15,8,14,15,18,10,12,CG,"['Arcana', 'History', 'Investigation', 'Religion', 'Persuasion']",Dagger,Produce Flame*0|Toll The Dead*0|Minor Illusion*0|Mage Hand*0|Dancing Lights*0|Detect Magic*1|Disguise Self*1|Find Familiar*1|Mage Armour*1|Shield*1|Absorb Elements*1|Fog Cloud*1|Ice Knife*1|Tasha's Hideous Laughter*1|Invisibility*2|Suggestion*2|Hold Person*2|Scorching Ray*2|Counter Spell*3|Fireball*3|Fly*3,01 11 2019,Int,Canada,CA,CG,,,Genasi,"{'0': ['Produce Flame', 'Toll the Dead', 'Minor Illusion', 'Mage Hand', 'Dancing Lights'], '1': ['Detect Magic', 'Disguise Self', 'Find Familiar', 'Mage Armor', 'Shield', 'Absorb Elements', 'Fog Cloud', 'Ice Knife', ""Tasha's Hideous Laughter""], '2': ['Invisibility', 'Suggestion', 'Hold Person', 'Scorching Ray'], '3': ['Counterspell', 'Fireball', 'Fly']}",['Dagger'],4-7,relaxed_ganguly,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Half Elf,Entertainer,2019-01-09T01:39:20Z,['Bard 6'],['Bard'],['College of Lore'],6,[nan],44,15,8,16,14,12,10,18,chaotic,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Insight', 'Perception', 'Deception', 'Performance', 'Persuasion']","Dagger|Crossbow, light|+1 Longsword",Vicious Mockery*0|Eldritch Blast*0|Friends*0|Tasha's Hideous Laughter*1|Thunderwave*1|Dissonant Whispers*1|Cure Wounds*1|Invisibility*2|Phantasmal Force*2|Heat Metal*2|Tiny Hut*3| Fear*3|Counterspell*3,01 08 2019,Cha,Canada,CA,CN,,,Half-Elf,"{'0': ['Vicious Mockery', 'Eldritch Blast', 'Friends'], '1': [""Tasha's Hideous Laughter"", 'Thunderwave', 'Dissonant Whispers', 'Cure Wounds'], '2': ['Invisibility', 'Phantasmal Force', 'Heat Metal'], '3': ['Fear', 'Counterspell']}","['Dagger', 'Crossbow, Light', 'Longsword']",4-7,relaxed_wozniak,Challenging,Hybrid,Cha,Bard,Challenging,Hybrid,Cha
Fallen Aasimar,Far Traveler,2018-12-30T02:00:29Z,['Warlock 6'],['Warlock'],['The Hexblade'],6,[nan],45,11,16,10,14,8,8,19,,"['Arcana', 'Insight', 'Perception', 'Intimidation']","Crossbow, light|Dagger",,12 29 2018,Cha,Canada,CA,,,,Aasimar,,"['Crossbow, Light', 'Dagger']",4-7,friendly_pare,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
High Elf,Sage,2018-12-30T01:59:45Z,['Wizard 6'],['Wizard'],['School of Conjuration'],6,[nan],38,13,8,17,14,18,10,8,,"['Arcana', 'History', 'Investigation', 'Religion', 'Perception']",Quarterstaff,,12 29 2018,Int,Canada,CA,,,,Elf,,['Quarterstaff'],4-7,mystifying_fermat,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Deep Gnome,Charlatan,2018-12-30T01:59:35Z,['Rogue 6'],['Rogue'],['Arcane Trickster'],6,[nan],39,15,8,18,12,16,14,8,,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Perception', 'Deception']",Rapier|Shortbow|Dagger,,12 29 2018,Int,Canada,CA,,,,Gnome,,"['Rapier', 'Shortbow', 'Dagger']",4-7,jovial_tharp,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
